,total_rainfall,year,month,wet_bulb_temperature,kwh_per_acc,elec_tariffs,rainy_days
449,173.8,2019,6,25.61277777777778,528.5793296089386,23.6,16
450,12.2,2019,7,25.546505376344083,516.4778393351801,23.6,8
451,11.8,2019,8,25.14758064516129,533.3797783933518,23.6,6
452,22.8,2019,9,25.17666666666667,563.38891966759,23.6,4
453,176.8,2019,10,25.08306451612903,550.2767313019391,23.6,15
454,137.4,2019,11,25.128194444444443,530.8448753462604,23.6,15
455,421.5,2019,12,24.581317204301076,484.84404432132965,23.6,14
456,88.4,2020,1,24.690725806451614,475.42465373961215,22.1,6
457,65.0,2020,2,24.543390804597703,491.0285714285714,22.1,8
458,108.8,2020,3,25.122580645161293,513.3214285714286,22.1,8
459,188.0,2020,4,25.509722222222223,558.3412087912088,22.1,12
460,255.6,2020,5,26.02405913978495,555.5370879120879,22.1,16
461,233.8,2020,6,25.440416666666664,706.5443526170799,22.1,21
462,140.8,2020,7,25.021639784946235,701.858217270195,22.1,22
463,103.4,2020,8,25.113844086021505,578.0386740331492,22.1,12
464,150.2,2020,9,24.719305555555557,556.1304945054945,22.1,18
465,78.8,2020,10,24.916263440860217,532.8629120879122,22.1,16
466,220.6,2020,11,24.803055555555556,540.7575757575758,22.1,19
467,253.2,2020,12,24.651612903225807,530.4366391184573,22.1,20
468,692.8,2021,1,23.73333333333333,502.5747922437673,22.5,17
469,1.0,2021,2,23.745386904761904,478.35527777777776,22.5,2
470,182.4,2021,3,24.68938172043011,490.0388888888889,22.5,14
471,290.4,2021,4,25.122500000000002,544.7195592286502,22.5,14
472,245.8,2021,5,25.861424731182797,565.9892561983471,22.5,13
473,93.4,2021,6,25.489305555555553,620.7793388429752,22.5,20
474,195.8,2021,7,25.36922043010753,592.9504132231405,22.5,12
475,293.6,2021,8,24.96317204301075,604.2944903581267,22.5,24
476,205.4,2021,9,25.195833333333333,567.0622589531681,22.5,14
477,177.0,2021,10,25.493682795698923,537.6334254143646,22.5,14
478,312.4,2021,11,25.111944444444443,542.3101648351649,22.5,23
479,119.6,2021,12,24.95604838709677,544.4861878453039,22.5,15
480,99.8,2022,1,24.380913978494625,523.3870523415978,25.8,9
481,175.0,2022,2,24.64985119047619,519.2575757575758,25.8,16
482,163.2,2022,3,25.253225806451614,504.1455555555555,25.8,21
483,239.6,2022,4,25.375416666666666,534.5752747252747,25.8,18
484,102.0,2022,5,25.881317204301077,568.4933333333333,25.8,12
485,211.8,2022,6,25.118055555555557,578.3118457300276,25.8,17
486,145.2,2022,7,25.43911290322581,,25.8,16
487,141.4,2022,8,25.072311827956987,,25.8,15
