,total_rainfall,year,month,wet_bulb_temperature,kwh_per_acc,gas_kwh_per_acc,temp_extremes_min,max_temperature,temp_var,price_electtariffs_inflatnadjusted_cent_per_kwh,mean_temp,elec_price
71,181.4,2010,12,24.836290322580645,769.9293960737255,83.0322188449848,22.3,33.6,11.3,27.0,26.8,207.8809369399059
72,513.2,2011,1,24.433467741935484,617.915294117647,86.97666666666666,21.6,32.4,10.799999999999997,29.2,26.3,180.43126588235293
73,23.0,2011,2,24.69151785714286,567.452734375,89.37666666666667,23.2,33.5,10.3,29.2,27.3,165.6961984375
74,256.6,2011,3,25.072311827956987,570.7145098039216,88.59727272727272,21.9,33.5,11.600000000000001,29.2,27.1,166.6486368627451
75,217.8,2011,4,25.689999999999998,650.659765625,89.66909090909091,21.4,33.1,11.700000000000003,29.2,27.9,189.9926515625
76,127.0,2011,5,26.479166666666668,687.8190661478599,86.01854103343464,23.4,35.3,11.899999999999999,29.2,28.5,200.84316731517507
77,213.0,2011,6,26.13875,724.931906614786,85.2230303030303,22.2,33.1,10.900000000000002,29.2,28.4,211.6801167315175
78,76.6,2011,7,26.110483870967744,690.849609375,83.27848484848485,22.2,32.9,10.7,29.2,28.7,201.7280859375
79,81.4,2011,8,25.56048387096774,690.78671875,85.83939393939394,23.3,32.5,9.2,29.2,27.9,201.70972187499999
80,136.4,2011,9,25.50986111111111,691.197265625,89.78844984802431,21.5,32.4,10.899999999999999,29.2,27.8,201.8296015625
81,216.8,2011,10,25.508198924731182,675.5062256809339,88.82454545454544,22.5,32.5,10.0,29.2,27.3,197.2478178988327
82,377.8,2011,11,25.45347222222222,652.78828125,88.76727272727273,22.8,32.5,9.7,29.2,27.1,190.61417812499997
83,284.6,2011,12,25.062634408602147,609.2809338521402,84.04757575757576,22.8,32.3,9.499999999999996,29.2,26.6,177.91003268482493
84,106.1,2012,1,25.007930107526885,607.250390625,87.6644376899696,21.5,32.5,11.0,30.6,26.7,185.81861953125
85,83.6,2012,2,25.257183908045977,610.4435797665369,89.56565349544073,22.7,32.9,10.2,30.6,27.2,186.7957354085603
86,313.4,2012,3,25.314247311827955,606.3894941634242,88.16939393939394,21.1,33.2,12.100000000000001,30.6,27.0,185.5551852140078
87,260.6,2012,4,25.57111111111111,642.7898832684825,89.63636363636364,21.9,32.9,11.0,30.6,27.6,196.69370428015566
88,292.0,2012,5,25.842473118279568,660.25078125,86.38115501519758,22.0,33.7,11.700000000000003,30.6,28.2,202.0367390625
89,53.0,2012,6,25.799305555555556,713.937109375,86.090332326284,22.8,32.7,9.900000000000002,30.6,28.7,218.46475546874998
90,130.8,2012,7,25.18494623655914,691.935546875,82.54743202416918,22.9,32.1,9.200000000000003,30.6,27.7,211.73227734374998
91,119.0,2012,8,25.202016129032256,680.815625,88.38795180722892,23.1,32.7,9.600000000000001,30.6,27.9,208.32958125
92,107.6,2012,9,25.150555555555556,666.43125,90.58132530120481,22.5,32.7,10.200000000000003,30.6,27.9,203.92796249999998
93,122.2,2012,10,25.155779569892474,659.2677042801556,87.67379518072289,23.5,33.1,9.600000000000001,30.6,27.7,201.7359175097276
94,208.2,2012,11,25.138472222222223,675.97734375,88.31837349397591,23.4,32.8,9.399999999999999,30.6,27.1,206.8490671875
95,363.4,2012,12,24.978494623655912,620.0007782101168,83.76566265060241,22.2,32.2,10.000000000000004,30.6,26.7,189.72023813229572
96,262.0,2013,1,24.62849462365591,601.5807843137255,85.10451807228915,21.6,35.2,13.600000000000001,28.3,27.1,170.24736196078433
97,395.2,2013,2,24.79285714285714,594.0307392996109,87.00572289156626,21.5,32.5,11.0,28.3,26.5,168.1106992217899
98,85.8,2013,3,25.5497311827957,591.538671875,86.01626506024097,23.9,33.8,9.899999999999999,28.3,28.3,167.405444140625
99,159.4,2013,4,25.81625,650.50078125,87.43162650602409,22.1,34.9,12.799999999999997,28.3,28.2,184.09172109375004
100,211.4,2013,5,25.848387096774193,708.3859922178989,83.07522658610273,22.9,33.9,11.0,28.3,28.2,200.4732357976654
101,111.4,2013,6,25.30388888888889,720.4525291828793,86.87530120481927,22.6,34.5,11.899999999999999,28.3,29.0,203.88806575875486
102,174.6,2013,7,25.04193548387097,693.253125,83.23493975903614,22.9,33.5,10.600000000000001,28.3,27.8,196.190634375
103,165.6,2013,8,25.04422043010753,692.1249027237354,87.4963746223565,21.6,32.8,11.199999999999996,28.3,27.9,195.87134747081714
104,257.0,2013,9,25.012916666666666,643.8468992248062,87.24431137724551,21.9,32.9,11.0,28.3,27.5,182.20867248062018
105,285.4,2013,10,24.95766129032258,654.4220930232558,85.70119760479042,20.9,33.2,12.300000000000004,28.3,27.7,185.2014523255814
106,292.4,2013,11,25.066666666666666,646.505078125,86.68268656716418,22.9,32.9,10.0,28.3,27.1,182.960937109375
107,348.2,2013,12,24.609139784946237,600.4455252918287,84.35654761904762,21.2,33.7,12.500000000000004,28.3,26.5,169.92608365758755
108,75.4,2014,1,23.391129032258064,593.006976744186,86.49166666666667,22.4,31.8,9.400000000000002,27.0,26.2,160.11188372093022
109,0.2,2014,2,23.708333333333332,558.465234375,89.57952522255192,22.4,33.8,11.399999999999999,27.0,27.2,150.78561328125002
110,66.0,2014,3,24.54462365591398,562.0965116279069,86.6375,23.6,34.4,10.799999999999997,27.0,27.9,151.7660581395349
111,110.0,2014,4,25.461805555555557,638.766926070039,86.83905325443787,22.8,34.5,11.7,27.0,28.2,172.46707003891052
112,125.8,2014,5,25.811424731182797,687.2058139534884,82.41390532544379,23.0,33.8,10.799999999999997,27.0,28.6,185.54556976744186
113,71.4,2014,6,25.880972222222223,694.3517509727626,84.4620178041543,23.0,33.6,10.600000000000001,27.0,29.0,187.4749727626459
114,148.6,2014,7,25.704704301075267,686.3747081712062,80.92522255192878,21.1,33.2,12.100000000000001,27.0,28.7,185.32117120622567
115,241.0,2014,8,24.933198924731183,682.8828125,84.94999999999999,22.0,31.9,9.899999999999999,27.0,27.7,184.378359375
116,83.6,2014,9,25.079583333333332,641.07421875,85.60473372781065,22.4,33.2,10.800000000000004,27.0,28.5,173.0900390625
117,120.0,2014,10,25.170295698924733,643.81796875,84.05976331360947,24.0,34.1,10.100000000000001,27.0,28.4,173.83085156250002
118,250.8,2014,11,25.094722222222224,661.758984375,83.605604719764,22.2,33.4,11.2,27.0,27.5,178.67492578125
119,245.6,2014,12,24.71545698924731,606.98671875,80.68171091445427,22.4,33.6,11.200000000000003,27.0,27.0,163.88641406250002
120,79.6,2015,1,23.8377688172043,581.6767716535433,83.86342182890856,23.3,32.4,9.099999999999998,22.8,26.9,132.62230393700787
121,18.8,2015,2,23.633035714285715,532.6161417322835,85.86331360946745,23.1,33.6,10.5,22.8,27.0,121.43648031496065
122,84.4,2015,3,24.765860215053763,559.503937007874,87.329203539823,23.4,34.4,11.0,22.8,28.2,127.56689763779528
123,73.2,2015,4,25.373055555555553,637.9803149606299,88.34837758112094,24.0,34.4,10.399999999999999,22.8,28.6,145.45951181102362
124,89.0,2015,5,25.795564516129033,635.627734375,81.05705882352942,24.0,34.2,10.200000000000003,22.8,28.7,144.9231234375
125,95.8,2015,6,25.58625,652.4758754863813,80.58849557522124,24.2,34.3,10.099999999999998,22.8,29.0,148.76449961089494
126,116.8,2015,7,25.54422043010753,667.7125984251968,80.82352941176471,22.1,32.7,10.600000000000001,22.8,29.1,152.2384724409449
127,185.8,2015,8,25.17755376344086,666.115625,81.47020648967552,22.6,33.1,10.5,22.8,28.4,151.87436250000002
128,61.6,2015,9,25.183611111111112,661.7488188976379,82.6873156342183,23.1,33.2,10.100000000000001,22.8,28.7,150.87873070866144
129,87.2,2015,10,25.2127688172043,669.443137254902,82.13137829912023,21.9,33.6,11.700000000000003,22.8,28.7,152.63303529411766
130,72.6,2015,11,25.090416666666666,672.1917322834646,82.86275659824047,23.7,33.6,9.900000000000002,22.8,28.0,153.25971496062994
131,302.3,2015,12,25.13037634408602,637.1225680933852,80.56,22.5,33.1,10.600000000000001,22.8,27.7,145.26394552529183
132,126.6,2016,1,25.472580645161287,596.243137254902,80.11466275659824,22.9,32.8,9.899999999999999,19.7,28.3,117.45989803921569
133,186.0,2016,2,24.938505747126438,593.794552529183,80.54705882352941,23.3,32.7,9.400000000000002,19.7,27.8,116.97752684824906
134,6.2,2016,3,25.40456989247312,618.951953125,79.5103550295858,25.4,34.1,8.700000000000003,19.7,29.0,121.93353476562501
135,89.8,2016,4,25.945277777777775,660.1276816608996,81.43639053254438,25.3,35.0,9.7,19.7,29.4,130.04515328719722
136,193.8,2016,5,26.075806451612905,689.1481228668941,76.54112426035503,23.9,34.6,10.700000000000003,19.7,29.3,135.76218020477816
137,162.8,2016,6,25.419166666666666,699.1931740614334,78.35680473372781,22.5,33.4,10.899999999999999,19.7,28.5,137.7410552901024
138,168.6,2016,7,25.259543010752687,639.6460207612457,76.4706231454006,22.5,33.4,10.899999999999999,19.7,28.4,126.01026608996541
